eta,max_depth,gamma,colsample_bytree,min_child_weight,subsample,nrounds,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
0.01,3,0,0.5,1,0.5,100,0.28163872712750665,0.3825085462976284,0.22098460369358938,0.02093790256752878,0.06802338748653217,0.009193024357185355
0.01,3,0,0.5,1,0.75,100,0.2791842882054417,0.40302324532806616,0.2198161649395811,0.019990520930628662,0.07553686960816086,0.009180228681099372
0.01,3,0,0.5,5,0.5,100,0.281937514644109,0.3686847229829637,0.22119918518038567,0.021438753941363284,0.05963125810793448,0.009481127540777344
0.01,3,0,0.5,5,0.75,100,0.2801135696176421,0.38544940177269793,0.2203548234146982,0.020642694070481082,0.07317048350647984,0.009261412220920667
0.01,3,0,0.8,1,0.5,100,0.27705201722455264,0.42397899793325544,0.21912037525069045,0.020006823175093915,0.07389068942369875,0.009161953029553251
0.01,3,0,0.8,1,0.75,100,0.2747579345402593,0.43636255808981483,0.21850311527323293,0.01849805685800849,0.08316666394258267,0.008786547283519146
0.01,3,0,0.8,5,0.5,100,0.27772641487174005,0.40806795243362903,0.2196420888365477,0.019962845803491613,0.06916539740463576,0.009095656025314527
0.01,3,0,0.8,5,0.75,100,0.2747029304516147,0.4293354834301022,0.21827964366239822,0.018636575677794042,0.08280748116353057,0.008695978008742245
0.01,3,0.1,0.5,1,0.5,100,0.28128348181259916,0.3866241666939042,0.2207128762551732,0.02115849077639617,0.07518801388626614,0.009122236877631272
0.01,3,0.1,0.5,1,0.75,100,0.27949758324416224,0.39959921998285636,0.21996570915671823,0.02042014884913238,0.07778665355013027,0.009150886954033379
0.01,3,0.1,0.5,5,0.5,100,0.28200522646058607,0.3703747832056586,0.22098467672532598,0.020842139201378704,0.06332423554491452,0.00912368826508827
0.01,3,0.1,0.5,5,0.75,100,0.2801077978293601,0.38575959262375575,0.21996746017051289,0.020485567515408327,0.07127021481645333,0.009166330382056984
0.01,3,0.1,0.8,1,0.5,100,0.2769018164914324,0.4262307583841654,0.2191860193452152,0.019453129743534723,0.07617862609947909,0.009011965250224683
0.01,3,0.1,0.8,1,0.75,100,0.27495801315395,0.43687021114186103,0.2185429274553986,0.018683651396684427,0.08096423665685992,0.00889940153094826
0.01,3,0.1,0.8,5,0.5,100,0.2775875205589453,0.4094871562405919,0.21937950713382973,0.020122354288679128,0.06899736518274091,0.009010619482575142
0.01,3,0.1,0.8,5,0.75,100,0.2752504387462934,0.42779152014596517,0.2183616766853315,0.019231258197141082,0.07829981336705456,0.00879557280397734
0.1,3,0,0.5,1,0.5,100,0.18548373135966748,0.3957132550872534,0.11933209618289553,0.016650139150084228,0.09940122880609047,0.00921425365908071
0.1,3,0,0.5,1,0.75,100,0.18296469612316357,0.41357464197465527,0.11695209346644216,0.02048855241912775,0.11253618892478434,0.00879617205749717
0.1,3,0,0.5,5,0.5,100,0.18927873492975558,0.37423663765372944,0.12180751080319983,0.017690292734692952,0.08444775226531948,0.008969571337589176
0.1,3,0,0.5,5,0.75,100,0.18451489629285,0.4025942224003704,0.11810900607042243,0.017760617534287138,0.10414103657587012,0.00920347399848876
0.1,3,0,0.8,1,0.5,100,0.18107613549180718,0.42406005895139465,0.11724348376124102,0.01763052986870067,0.11515165099562515,0.008668320479891991
0.1,3,0,0.8,1,0.75,100,0.1809346212977712,0.4257282837118929,0.11618682896668563,0.01776265324357319,0.10869428618889804,0.00843832190865554
0.1,3,0,0.8,5,0.5,100,0.18594053193350563,0.39487412437454966,0.12018828288129532,0.01839654313166597,0.09081679852477284,0.009044301499042664
0.1,3,0,0.8,5,0.75,100,0.18123819540802036,0.4234790355354003,0.11587746044223649,0.01764086956540209,0.09653170633610536,0.007957357503143803
0.1,3,0.1,0.5,1,0.5,100,0.18477139708670162,0.4006767239093456,0.11859961423417023,0.014901503472608428,0.09870710104559544,0.007875295063592285
0.1,3,0.1,0.5,1,0.75,100,0.1811131692148653,0.42208678610637723,0.11621804377868694,0.016128543377812332,0.10916321517796428,0.007639194985549607
0.1,3,0.1,0.5,5,0.5,100,0.1851717105358354,0.39851650009915135,0.11928578671446102,0.015837465594989972,0.0838196373579334,0.00808941362017113
0.1,3,0.1,0.5,5,0.75,100,0.1822990326159201,0.41634361014201604,0.1163829943312574,0.017647578393464,0.09903840901563524,0.008246271501656046
0.1,3,0.1,0.8,1,0.5,100,0.18216912697123133,0.42045445708598367,0.1177497273574509,0.019830860585736257,0.11934291510181363,0.009763388011036107
0.1,3,0.1,0.8,1,0.75,100,0.1789275844078535,0.43580193906997666,0.11476104827056718,0.017738221801381696,0.1146850342756075,0.008267249191062224
0.1,3,0.1,0.8,5,0.5,100,0.18453193496350956,0.4028794689463792,0.11862986184780837,0.01721357675970741,0.09121786218619443,0.007560032739394376
0.1,3,0.1,0.8,5,0.75,100,0.17893660037999384,0.4365303874265949,0.11468942385827821,0.017828535858259196,0.0998398504170428,0.008343470453216616
0.3,3,0,0.5,1,0.5,100,0.19881119784477633,0.3308494195505463,0.1273543403109456,0.014571226903443167,0.09440808821833448,0.007939330165916454
0.3,3,0,0.5,1,0.75,100,0.1926905700883637,0.3677338675584485,0.12422833838671171,0.019147987346552615,0.09723000179216404,0.009590598029081548
0.3,3,0,0.5,5,0.5,100,0.19496448349347767,0.34849428595987164,0.12664941264765103,0.018731248160368894,0.08156789108828222,0.009771036756100528
0.3,3,0,0.5,5,0.75,100,0.19260911013109971,0.3624755258391803,0.12334595488684308,0.0189387470666717,0.10728586044494545,0.007887654149966427
0.3,3,0,0.8,1,0.5,100,0.1893168857339982,0.3885654248590887,0.12306708563363364,0.017168814414464502,0.09006954735930868,0.007617238585247168
0.3,3,0,0.8,1,0.75,100,0.19184811495854087,0.37355178099252156,0.12283426729566833,0.020054221284532308,0.11657166038830492,0.008917636992663132
0.3,3,0,0.8,5,0.5,100,0.19262538303302107,0.36035045243969205,0.1243190539734448,0.019646036587508565,0.10248698696568039,0.006155402466647035
0.3,3,0,0.8,5,0.75,100,0.1892629086905267,0.38568591355904874,0.1222281983322842,0.020085465845388534,0.10716312909733061,0.007575654953617203
0.3,3,0.1,0.5,1,0.5,100,0.1909267093300015,0.36954292847240744,0.12339879579684726,0.021546576323962015,0.10764697385646187,0.009643780361997716
0.3,3,0.1,0.5,1,0.75,100,0.18562955625904282,0.4016069307775469,0.12074662502417344,0.015531832143891294,0.10484002875122919,0.005966432681233677
0.3,3,0.1,0.5,5,0.5,100,0.1910528195238001,0.36875505266468067,0.12444343760384645,0.01572363947123202,0.08878020432321393,0.008181116349933345
0.3,3,0.1,0.5,5,0.75,100,0.1870639420208238,0.3907516918399415,0.12021467637823177,0.02077222912062939,0.10704425407503688,0.009404800677384709
0.3,3,0.1,0.8,1,0.5,100,0.189009279242877,0.38775007519534727,0.12309230680376525,0.017157592046516762,0.10252286164139962,0.009048526137706764
0.3,3,0.1,0.8,1,0.75,100,0.18449736511709272,0.4077710604619286,0.11965395753117307,0.018002714982535407,0.1132126519953108,0.007622030194139376
0.3,3,0.1,0.8,5,0.5,100,0.19032413600546533,0.37308606334374284,0.12231831405719454,0.01642839150396625,0.09367597529497104,0.006189641474996065
0.3,3,0.1,0.8,5,0.75,100,0.18410510731938065,0.40799385231669966,0.11899217407617871,0.01786735201213196,0.11478126240399487,0.007545904015342605
0.01,6,0,0.5,1,0.5,100,0.2820686560274977,0.37590245726288324,0.22230151942844717,0.02057209492045574,0.06910242223649171,0.009303481895534989
0.01,6,0,0.5,1,0.75,100,0.27958491760183063,0.38754970679421197,0.22122771951585696,0.01935525123414107,0.07863979039601181,0.00890232205231035
