IDRSSD,BankName,BankType,.model,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,manual8,Training,-0.0073270926468680005,0.11728021582810011,0.09038051719684169,Inf,Inf,0.39978743783753035,0.3985426149100863,-0.03156793075711663
30810,DISCOVER BANK (30810),LargeCreditCardBank,manual8,Training,0.002272106793443766,0.057186055163757715,0.043853772387579315,NA,Inf,0.6644510967815047,0.6333708232573726,-0.033769520147853636
75633,BMO HARRIS BANK NATIONAL ASSOCIATION (75633),LargeBank,group1,Training,-0.013302640704439825,0.25509052670251564,0.1708542907039056,-0.5781520823801779,12.780612954762386,0.5226677825748302,0.41582864033642175,-0.3525067747489742
112837,"CAPITAL ONE, NATIONAL ASSOCIATION (112837)",LargeBank,group2,Training,0.01848113807162999,0.07298119228384775,0.059600366552690645,0.9811129818486736,3.367780046672591,0.5033814742625901,0.4390407119907219,-0.08379824337441563
233031,REGIONS BANK (233031),LargeBank,portfolio3,Training,2.053946998457015e-4,0.07751316795607498,0.061853720173704926,-0.40290248632791015,4.9360296024246395,0.45027612386988264,0.4835138571558616,-7.245295246979506e-4
280110,KEYBANK NATIONAL ASSOCIATION (280110),LargeBank,group1,Training,-0.024479782338665133,0.16105877623888956,0.10387720706894803,-3.079843256859628,9.15404248414958,0.5820705568518639,0.6255125518186387,-0.04093363156177019
413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,rrsfs2,Training,-0.0087348815615833,0.17893283655609565,0.1421114407183839,-0.9185061100846978,9.456607398877969,0.6136072569878408,0.5546232350369071,-0.06506973113010253
451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,unrate4,Training,0.014738697683424286,0.06785311313838384,0.05404585005317378,1.2058060654206806,4.617029395670475,0.27131450829906517,0.21601823777127852,0.028651876061988747
476810,"CITIBANK, N.A. (476810)",LargeBank,manual3,Training,-0.001802894353979696,0.0978379528975107,0.08061786661471514,Inf,Inf,0.48929919043613207,0.3734951908372405,-0.023488855206399362
480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,unrate4,Training,-5.480521338302735e-4,0.034116931043404956,0.025328443449071786,-0.2601420482970322,3.0998257441049466,0.20062133425007356,0.20819203856335353,0.043240075782596504
491224,FIRST-CITIZENS BANK & TRUST COMPANY (491224),LargeBank,manual6,Training,-0.0011208946863984122,0.12729507570317136,0.09688230626477512,-Inf,Inf,0.5548814791796971,0.5521329017636931,-0.03732665147413017
497404,"TD BANK, N.A. (497404)",LargeBank,group2,Training,-0.029731282084072434,0.206256767745013,0.1287327210975882,-3.530177769212144,10.444874466304917,0.5496700303056712,0.7080131779854282,0.01449408811179532
501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,group2,Training,-0.001835528534678718,0.08171242713511727,0.062200330352106294,-0.6594542975101834,5.8686403379928285,0.618469193841966,0.6178392153035165,0.024489744212630705
504713,U.S. BANK NATIONAL ASSOCIATION (504713),LargeBank,manual8,Training,0.0069553697562895625,0.08117548216502232,0.0559557037500514,NA,Inf,0.6908111574080421,0.7302150530405358,0.006120640100906779
722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,unrate1,Training,-0.004367639296837734,0.16371526853163143,0.12401140291282649,-2.412300155981212,10.79453192204657,0.35518814254901204,0.34098891592872593,-0.023283145485398747
723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,group2,Training,-0.013111331685671865,0.11590401466726805,0.08911969761376597,-1.6836144103803263,7.479665885853025,0.37040605824507883,0.393037256442613,-0.002668674272217913
817824,"PNC BANK, NATIONAL ASSOCIATION (817824)",LargeBank,portfolio3,Training,-0.01757261835475852,0.11055607235778322,0.09030628792097155,-2.018855918318193,7.308408314913127,0.49317754325773305,0.47536649835473427,-0.08105577495825324
852218,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION (852218)",LargeBank,arima,Training,NA,NA,NA,NA,NA,NA,NA,NA
852320,TRUIST BANK (852320),LargeBank,manual8,Training,0.01458294204166327,0.060983379509719875,0.0459917981052136,NA,Inf,0.3758469522576595,0.22495266559803623,-0.0971191428910024
1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,rrsfs1,Training,0.013301826907010483,0.044529311018370474,0.031095869186043363,0.5199690537246101,1.2842063500423413,0.318931991651727,0.35703514461273766,0.16173215359006624
1391778,COMENITY BANK (1391778),LargeCreditCardBank,group1,Training,-0.0018650860796536493,0.1712503054809201,0.13002201252694134,-0.5280195232772432,4.183047465583085,0.3770940038484377,0.36255165355037844,0.10428502369086354
1394676,AMERICAN EXPRESS NATIONAL BANK (1394676),LargeCreditCardBank,unrate5,Training,-0.003424082256922847,0.050575289676471874,0.04089455005127783,-1.1146156511377394,5.79867110696547,0.385105628285576,0.2917882253122568,0.05790860120725277
2182786,GOLDMAN SACHS BANK USA (2182786),LargeBank,debt3,Training,0.0019630585631007225,0.007770839997571522,0.006025051953968769,0.20861168625482404,0.4578431858137761,0.008959185061663598,0.011462151527297057,0.11081939517710769
2615190,MERRICK BANK CORPORATION (2615190),LargeCreditCardBank,unrate4,Training,0.0056089313663343025,0.24955276783677044,0.1906305815122822,0.27818185308734217,6.353414933905167,0.3220111174193956,0.2655123195863373,-0.21094393475510476
