BankType,.model,.model_spec,sigma2,log_lik,AIC,AICc,BIC,ar_roots,ma_roots
LargeBank,portfolio1,"<LM w/ ARIMA(0,2,1)(1,0,0)[4] errors>",0.011034193484229092,43.79178209300038,-79.58356418600076,-78.73250035621352,-71.77858931167505,,
LargeBank,portfolio2,"<LM w/ ARIMA(2,2,3)(1,0,0)[4] errors>",0.009508730708382603,49.09456194367763,-82.18912388735527,-78.84028667805293,-66.57917413870385,,
LargeBank,portfolio3,"<LM w/ ARIMA(0,1,0)(1,0,0)[4] errors>",0.010672422675420106,46.178579121983525,-84.35715824396705,-83.52382491063372,-76.47599058975857,,
