BankType,.model,.model_spec,sigma2,log_lik,AIC,AICc,BIC,ar_roots,ma_roots
LargeCreditCardBank,comb1,"<LM w/ ARIMA(2,0,0)(2,0,0)[4] errors>",0.02785602262687017,19.622684861999772,-21.245369723999545,-17.154460633090455,-3.3445133049210725,,
LargeCreditCardBank,comb2,"<LM w/ ARIMA(2,0,0)(2,0,0)[4] errors>",0.027397953161477383,20.219315957284806,-20.438631914569612,-15.32235284480217,-0.5487914489268668,,
LargeCreditCardBank,comb3,"<LM w/ ARIMA(2,0,0)(1,0,0)[4] errors>",0.03536318796256064,16.165224436688817,-12.330448873377634,-7.214169803610192,7.559391592265111,,
LargeCreditCardBank,comb4,"<LM w/ ARIMA(0,1,1)(2,0,0)[4] errors>",0.028244105602775953,21.479928665245943,-26.959857330491886,-23.687130057764612,-11.19752202207491,,
LargeCreditCardBank,comb5,"<LM w/ ARIMA(2,0,0)(1,0,0)[4] errors>",0.04325409226380636,10.192472328601667,-4.384944657203334,-1.1849446572033342,11.526927715310862,,
