.id,UBPRE524.diff.observed,new_data,forecast
1,-0.1200000000000001,,
2,0.14000000000000012,,
3,0,,
4,-0.05000000000000004,,
5,-0.11999999999999988,,
6,0.11999999999999988,,
7,0.03000000000000002,,
8,-0.06000000000000005,,
9,-0.21999999999999997,,
10,-0.01,,
11,0.23,,
12,-0.07000000000000006,,
13,-0.11999999999999988,,
14,0.08000000000000007,,
15,0.0299999999999998,,
16,0,,
17,-0.07999999999999985,,
18,0.01,,
19,0.08999999999999986,,
20,-0.06999999999999984,,
21,0.1399999999999999,,
22,-0.39,,
23,0.2400000000000001,,
24,0.03000000000000002,,
25,-0.18000000000000005,,
26,-0.10000000000000007,,
27,0.1100000000000001,,
28,-0.01,,
29,0.04999999999999993,,
30,0.01,,
31,0.18999999999999995,,
32,0.07000000000000006,,
33,-0.16999999999999993,,
34,0.07999999999999985,,
