.id,UBPRE524.diff.observed,new_data,forecast
1,-0.18999999999999995,,
2,0.09999999999999988,,
3,0.03000000000000002,,
4,-0.31000000000000005,,
5,-0.09999999999999988,,
6,0.19999999999999996,,
7,-0.07000000000000006,,
8,-0.23,,
9,-0.06000000000000005,,
10,0.17000000000000015,,
11,0.08999999999999986,,
12,-0.10999999999999988,,
13,0.02000000000000001,,
14,0.08999999999999986,,
15,0.07000000000000006,,
16,-0.26,,
17,-0.01,,
18,0.10000000000000007,,
19,0.09999999999999988,,
20,-0.07999999999999985,,
21,0.16999999999999993,,
22,0.07000000000000006,,
23,0.1299999999999999,,
24,-0.1399999999999999,,
25,0.05000000000000004,,
26,0.1499999999999999,,
27,-0.18999999999999995,,
28,-0.1100000000000001,,
29,-0.08999999999999986,,
30,0.16999999999999993,,
31,0.04000000000000003,,
32,-0.08000000000000007,,
33,-0.05000000000000004,,
34,0.03000000000000002,,
35,0,,
36,-0.09000000000000008,,
37,-0.34999999999999987,,
38,0.07000000000000006,,
39,-0.06000000000000005,,
40,-0.24,,
41,-0.02000000000000001,,
42,0.08999999999999997,,
43,0.11,,
44,0.02000000000000001,,
45,0.03000000000000002,,
46,0.19999999999999996,,
47,0.1200000000000001,,
48,-0.07000000000000006,,
49,0.09999999999999988,,
