.id,UBPRE524.diff.observed,new_data,forecast
1,-0.07000000000000006,,
2,0.19999999999999996,,
3,-0.17999999999999994,,
4,-0.06000000000000005,,
5,0.08000000000000007,,
6,-0.21999999999999997,,
7,0.42999999999999994,,
8,0,,
9,0.03000000000000002,,
10,0.05000000000000004,,
11,0.11999999999999988,,
12,0.03000000000000002,,
13,-0.17999999999999994,,
14,-0.19999999999999996,,
15,-0.6100000000000001,,
16,0.07000000000000006,,
17,0.26,,
18,-0.37,,
19,-0.12,,
20,0.12,,
21,0.03999999999999992,,
22,-0.06999999999999995,,
23,-0.04000000000000003,,
24,0.09999999999999998,,
25,0.09000000000000008,,
26,0.02000000000000001,,
27,0.01,,
