IDRSSD,BankName,BankType,.model,Quarter,UBPRE524.diff,.fitted,.resid,.innov
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2014 Q3,0.16000000000000003,0.06146730764964996,0.09853269235035007,0.09853269235035007
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2014 Q4,-0.02000000000000001,0.004030143587649873,-0.024030143587649884,-0.024030143587649884
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2015 Q1,-0.09999999999999998,-0.0848402905337732,-0.015159709466226773,-0.015159709466226775
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2015 Q2,0.03000000000000002,-0.08508468691025298,0.115084686910253,0.115084686910253
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2015 Q3,0.19999999999999996,0.14794082524061256,0.0520591747593874,0.05205917475938741
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2015 Q4,0.12,-0.060423157284117124,0.18042315728411712,0.18042315728411712
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2016 Q1,-0.16000000000000003,-0.06844056359027215,-0.09155943640972788,-0.09155943640972788
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2016 Q2,0.2500000000000001,0.03322563080122318,0.21677436919877693,0.21677436919877693
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2016 Q3,0.18999999999999995,0.13126833082141243,0.05873166917858752,0.05873166917858753
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2016 Q4,-0.07000000000000006,0.03973414788879452,-0.10973414788879458,-0.10973414788879458
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2017 Q1,0.19999999999999996,-0.04660107860345131,0.24660107860345126,0.24660107860345126
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2017 Q2,-0.17999999999999994,-0.009705535052023845,-0.1702944649479761,-0.1702944649479761
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2017 Q3,-0.06000000000000005,0.13436231224396294,-0.194362312243963,-0.194362312243963
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2017 Q4,0.08000000000000007,-0.03920103532788065,0.11920103532788072,0.11920103532788072
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2018 Q1,-0.21999999999999997,-0.047320811142927605,-0.17267918885707237,-0.17267918885707237
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2018 Q2,0.42999999999999994,-0.04214345902803135,0.4721434590280313,0.4721434590280313
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2018 Q3,0,0.14957064357278968,-0.14957064357278968,-0.14957064357278968
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2018 Q4,0.03000000000000002,-0.012978419357976757,0.04297841935797678,0.04297841935797678
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2019 Q1,0.05000000000000004,-0.012141489886668091,0.06214148988666813,0.06214148988666813
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2019 Q2,0.11999999999999988,-0.04660107860345131,0.1666010786034512,0.1666010786034512
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2019 Q3,0.03000000000000002,0.10889441349657872,-0.07889441349657869,-0.0788944134965787
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2019 Q4,-0.17999999999999994,0.0090280987139324809,-0.18902809871393242,-0.18902809871393242
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2020 Q1,-0.19999999999999996,-0.002660103101626149,-0.1973398968983738,-0.1973398968983738
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2020 Q2,-0.6100000000000001,-0.24169328104996213,-0.36830671895003797,-0.36830671895003797
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2020 Q3,0.07000000000000006,-0.07742376407031876,0.14742376407031882,0.14742376407031882
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2020 Q4,0.26,0.12946512164931873,0.13053487835068128,0.13053487835068128
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2021 Q1,-0.37,-0.27063210947356336,-0.09936789052643663,-0.09936789052643662
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2021 Q2,-0.12,-0.1800320012355828,0.060032001235582805,0.06003200123558281
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2021 Q3,0.12,0.11508265927673675,0.004917340723263247,0.004917340723263245
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2021 Q4,0.03999999999999992,0.0674168692873729,-0.027416869287372976,-0.027416869287372983
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2022 Q1,-0.06999999999999995,0.04490270190397848,-0.11490270190397843,-0.11490270190397843
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2022 Q2,-0.04000000000000003,-0.007614517709026235,-0.032385482290973794,-0.032385482290973794
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,tslm,2022 Q3,0.09999999999999998,0.20007130159640876,-0.10007130159640878,-0.10007130159640878
