.id,UBPRE524.diff.observed,new_data,forecast
1,-0.21999999999999997,,
2,0.06000000000000005,,
3,-0.06000000000000005,,
4,-0.13000000000000012,,
5,0.03000000000000002,,
6,-0.08999999999999986,,
7,-0.04000000000000003,,
8,0.01,,
9,-0.03000000000000002,,
10,0.01,,
11,-0.05000000000000004,,
12,-0.08999999999999997,,
13,0.18000000000000005,,
14,-0.02000000000000001,,
15,-0.15000000000000002,,
16,-0.03000000000000002,,
17,0.18000000000000005,,
18,0.16999999999999993,,
19,-0.15999999999999992,,
20,0.01,,
21,0.16999999999999993,,
22,0.01,,
23,-0.09000000000000008,,
24,-0.01,,
25,0.13000000000000012,,
26,-0.07000000000000006,,
27,0.01,,
28,0.02000000000000001,,
29,0.15999999999999992,,
30,-0.02000000000000001,,
31,0,,
32,-0.01,,
33,-0.16999999999999993,,
34,0.05000000000000004,,
35,-0.28,,
36,-0.07999999999999996,,
37,0.13,,
38,0.5999999999999999,,
39,-0.48,,
40,-0.01,,
41,0.15000000000000013,,
42,-0.02000000000000001,,
43,0.04000000000000003,,
44,-0.10000000000000007,,
