iter,train_rmse_mean,train_rmse_std,test_rmse_mean,test_rmse_std
1,0.5673245448003001,0.0019044892578505724,0.5673039147213522,0.00708966426928555
2,0.5624939103446923,0.001859637435668863,0.5625084356005403,0.007086399677918816
3,0.5576977408547394,0.0018441411096950353,0.5577163790941766,0.00698973652317142
4,0.5531316085855502,0.001795929280761334,0.5532064755400712,0.0069761808528631735
5,0.5484783515831816,0.0017266697563705989,0.5486030781002553,0.006911793550041939
6,0.5438865603665742,0.0016941965897049058,0.54401711262882,0.006890945035947933
7,0.5393460525674205,0.001647506920358488,0.5394666333062706,0.006870529547642269
8,0.5348580116099056,0.0016127506659423278,0.5349883101524148,0.00680593162841178
9,0.5304350703046893,0.0016061646322268288,0.5306312728957057,0.0067617604137019715
10,0.5260854790775832,0.0015974172933465418,0.5262873942911119,0.00672157056777304
11,0.5217611555355419,0.0016225461936148974,0.522005422636832,0.006656745686015633
12,0.5175138652104438,0.0015928579421947346,0.51778745833258355,0.00659879353063862
13,0.5133081768224314,0.0016012512258242553,0.5136353407377787,0.006581107260669255
14,0.5091060200148296,0.0015673187333622345,0.5094602038114515,0.0065038145578599485
15,0.5049738257583691,0.0014736637170203993,0.5053932701551578,0.006518048975564156
16,0.500959898605842,0.0014242040467515183,0.5013889739559941,0.006539762694778578
17,0.4969586990633156,0.0014078472797085623,0.4974173693113164,0.0064925478131010244
18,0.49309639526793425,0.001373172058600627,0.4935839824925566,0.00646514978664461
19,0.4892158998123206,0.0012905010939884888,0.4897499544031417,0.0064566043798627345
20,0.48528668538881287,0.0012611845597336126,0.4858592295233515,0.006432042345835317
21,0.4813884423901315,0.001060127817919698,0.4820051279368859,0.006517686091940532
22,0.4775517539329064,0.001013581674032388,0.4782069828907942,0.0064838179561979015
23,0.4737600532217269,9.103651497712182e-4,0.47437869293874835,0.0064548345703128885
24,0.4699885971681623,8.742032020730464e-4,0.47062965917514965,0.006375933675664136
25,0.4662476139595749,8.482747080861171e-4,0.4669151983821158,0.00633967300450245
26,0.46270195109668955,8.398594215682886e-4,0.4633951913168615,0.0063301744607952085
27,0.45909185698178145,8.090086445844826e-4,0.45983803295785375,0.006294496207041754
28,0.45544243414923696,7.59110944046638e-4,0.4562328081073888,0.00625338728224757
29,0.4519459348021014,7.283061830031083e-4,0.45281517259406895,0.006276896804889501
30,0.44842191844925255,6.700597053657367e-4,0.44933081289114146,0.006269360282456485
31,0.4449535312400979,6.250883576142903e-4,0.44593142192550533,0.00627332335855734
32,0.441539013351542,6.807745263800397e-4,0.44255847110105945,0.0061909408545915935
33,0.438133009568987,5.811691978707649e-4,0.43926472826573987,0.006187342831926728
34,0.43478614122532894,6.136166975272555e-4,0.4359836278176584,0.006104895730637177
35,0.4314681211976587,6.220758249298125e-4,0.432617379826605,0.006005220648407367
36,0.42829286086813084,6.901160200015882e-4,0.4294858285476801,0.0058954598869704385
37,0.4250919967331677,6.050615619261085e-4,0.4263328188225259,0.0059033766530772755
38,0.4218840974896574,5.898130997436952e-4,0.42323638006058795,0.0057916333843645315
39,0.41876539811335745,5.531415408536172e-4,0.4201626363381698,0.005786670493592932
40,0.41564843804642243,4.6927268988472423e-4,0.4170833393595619,0.005788452452365083
41,0.4125880787281026,4.019559279283757e-4,0.41411561804890373,0.0057811542187148615
42,0.40956542124334233,4.34602431634577e-4,0.41111684234490486,0.0057368648442076104
43,0.40656369796654646,3.771460692667964e-4,0.4082073679492705,0.005707034920367803
44,0.4036286736382177,2.903518436766655e-4,0.40541767233886744,0.005717366671649517
45,0.4007627220563746,3.2454562904118685e-4,0.402667598742339,0.005675985319511756
46,0.3978535896618711,3.6887717388912807e-4,0.39981384848221596,0.005567034033066704
47,0.39510861951832005,3.5028748984867146e-4,0.39711434068178986,0.005522925616259875
48,0.39242742071993736,3.871478872398533e-4,0.39444886026108406,0.005465937938322975
49,0.3896903129640331,3.6763005440304254e-4,0.3917773153526981,0.005461106542232456
50,0.386907398110732,3.115100565094383e-4,0.3890061851204456,0.005455687840859322
51,0.3841847360956954,2.6819434532230366e-4,0.38633716792408074,0.005393277142572984
52,0.38149888300533297,1.842696134485537e-4,0.38373000035605054,0.0053883706099017575
53,0.37889202163459673,1.7707424973734354e-4,0.3812021489063422,0.00538651155447714
54,0.3763314850139424,2.138202487712313e-4,0.3786952855790289,0.00530447819378774
55,0.373649060640771,1.9190830408971277e-4,0.37610026751577175,0.005257847484548174
56,0.3711385075566616,1.761614598051362e-4,0.37369263906026334,0.0052757805944038845
57,0.36863558693725673,9.397436047043825e-5,0.3712475753506806,0.005191800222995874
58,0.36613945053882685,6.51177376909192e-5,0.3688050303735642,0.005136940503198181
59,0.36367799221192526,6.0261995899143945e-5,0.36634996475002396,0.005074813877107714
60,0.36125229972363426,1.393962056537122e-4,0.36397735545556403,0.005057227181181399
61,0.35878285491077827,7.940804839886607e-5,0.36158666347254675,0.004963575563692825
62,0.35641895052628597,1.6810760801491364e-4,0.3593544864269497,0.004957232523240111
63,0.3541190303455739,2.560713901020944e-4,0.3570735381504776,0.00495147665449099
64,0.35178184261055856,2.5900437134147077e-4,0.3547713309990236,0.004933037715828327
65,0.34948673646936124,3.0483507886607084e-4,0.3525499064728525,0.004965219610654947
66,0.3472228398933167,3.1959086887083777e-4,0.35045763124992585,0.004954246142471024
67,0.3449704520390136,3.275033307468339e-4,0.34825417502715295,0.0048783094581428856
68,0.3428387701826428,3.8587208161021305e-4,0.3461594630260434,0.0048433112361096105
69,0.3406971647726092,3.7834332396858965e-4,0.3441274982513766,0.004797282574855264
70,0.33852815626924415,4.5718709945927975e-4,0.3420331336091565,0.004853371558723435
71,0.33639536275472376,5.478504043795897e-4,0.3399587053253333,0.004902425896653684
72,0.33420789532000333,5.60389548278555e-4,0.3378672066257752,0.004867533918567646
73,0.3321728926099191,6.087274022151571e-4,0.3359178739876951,0.004893555975625974
74,0.33013938477734195,5.979365172695076e-4,0.3339747048366516,0.004807071124960453
75,0.32814746141449896,6.518819141090451e-4,0.33208437210724245,0.0047960886930906894
76,0.3261996304383876,6.432137264800651e-4,0.3301750271136,0.004747843756168235
77,0.324259573176603,6.40684426424381e-4,0.3283482479830832,0.004765166716466316
78,0.3221958701391234,5.525935533236541e-4,0.32634224402208856,0.004698332737941909
79,0.32031677058389824,6.209261986076818e-4,0.3244845210804992,0.004699327790733094
80,0.31837808888322383,6.574171292342043e-4,0.3226929965510595,0.004628936230939216
81,0.31656858239718055,6.940356969909857e-4,0.3210036744213109,0.004607943162746718
82,0.3146874156360009,6.580639259678742e-4,0.3192209711294298,0.004539849294706287
83,0.3128512598167272,7.649021384669137e-4,0.3175270412338473,0.004567123573766508
84,0.3110539766471597,8.038044620237235e-4,0.315842099011817,0.004512471147458896
85,0.3092661355531523,7.821229301509675e-4,0.3140992295943084,0.004440112213142572
86,0.307517553460048,8.11432644740125e-4,0.31241431591011004,0.004418540814295582
87,0.30579331797425524,8.101186936570533e-4,0.31078927776688037,0.004375846273978835
88,0.3040846808311024,8.421055797065562e-4,0.30916102399877365,0.0043997290486588285
89,0.3023653118058236,8.489047699530982e-4,0.3074646731414277,0.004414447243561788
90,0.300671809925491,7.944536245909587e-4,0.30583867817152327,0.004315288445217118
91,0.2990735107888303,7.984176252045373e-4,0.30433943526696283,0.004251413473104267
92,0.29747928198257123,7.861703542646168e-4,0.30284628401325686,0.0042173744981932725
93,0.29587137471162567,7.395767013049394e-4,0.301262724362208,0.004187535208071188
94,0.2943195118699679,8.051890500113258e-4,0.29984838628838456,0.00414356629691545
95,0.2927938661524176,8.45473405527795e-4,0.29831307066449725,0.004109651598765671
96,0.29125201852655075,8.965304320572049e-4,0.29688174916966614,0.004065359619349972
97,0.2897037511914204,9.034925600490194e-4,0.29541202515106335,0.003974083428250699
98,0.28828757182557746,9.526723068520929e-4,0.29404954056040816,0.003912891012421966
