BankType,.model,.model_spec,sigma2,log_lik,AIC,AICc,BIC,ar_roots,ma_roots
LargeCreditCardBank,debt1,"<LM w/ ARIMA(1,0,1)(1,0,0)[4] errors>",0.050413160776702964,5.02121407754295,1.9575718449140993,3.7448058874672907,13.891476124299746,,
LargeCreditCardBank,debt2,"<LM w/ ARIMA(2,0,1)(1,0,0)[4] errors>",0.05769253837406433,2.1852482468289622,9.629503506342076,12.064286115037728,23.552391832291995,,
LargeCreditCardBank,debt3,"<LM w/ ARIMA(2,0,0)(1,0,0)[4] errors>",0.04856187524274481,6.4570400114262725,1.085919977147455,3.5207025858431074,15.008808303097377,,
LargeCreditCardBank,debt4,"<LM w/ ARIMA(2,0,0)(1,0,0)[4] errors>",0.04929018363373505,6.615020126889647,2.7699597462207066,5.969959746220707,18.681832118734903,,
LargeCreditCardBank,debt5,"<LM w/ ARIMA(2,0,0)(1,0,0)[4] errors>",0.05000995916682125,6.748946356982742,4.502107286034516,8.593016376943606,22.402963705112988,,
