IDRSSD,BankName,BankType,.model,.model_spec,sigma2,log_lik,AIC,AICc,BIC,ar_roots,ma_roots
413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,portfolio1,"<LM w/ ARIMA(1,0,0)(1,0,0)[4] errors>",0.05054440818101071,5.641491101021451,0.717017797957098,2.765798285761976,11.944223863404446,,
413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,portfolio2,"<LM w/ ARIMA(1,0,0)(1,0,0)[4] errors>",0.04973662979678954,6.0011678643081225,-0.002335728616245092,2.046444759188633,11.224870336831103,,
413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,portfolio3,"<LM w/ ARIMA(1,0,0)(1,0,0)[4] errors>",0.050629918047253995,6.123762722148378,1.7524745557032446,4.552474555703244,14.850881632058483,,
413208,"HSBC BANK USA, NATIONAL ASSOCIATION (413208)",LargeBank,portfolio4,"<LM w/ ARIMA(1,0,0)(1,0,0)[4] errors>",0.04945313889813422,6.117380132120822,-0.2347602642416433,1.8140202235632348,10.992445801205704,,
451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,portfolio1,"<LM w/ ARIMA(0,1,2) errors>",0.00931115110228539,45.06886680343365,-80.1377336068673,-78.67431897272095,-70.88699559831701,,
451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,portfolio2,"<LM w/ ARIMA(0,1,2) errors>",0.008959893903713632,45.988595853933006,-81.97719170786601,-80.51377707371967,-72.72645369931573,,
451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,portfolio3,"<LM w/ ARIMA(0,1,1) errors>",0.008732977097691557,46.694017375082524,-83.38803475016505,-81.9246201160187,-74.13729674161476,,
451965,"WELLS FARGO BANK, NATIONAL ASSOCIATION (451965)",LargeBank,portfolio4,"<LM w/ ARIMA(1,0,0)(0,1,1)[4] errors>",0.009579909510922757,39.971007387896336,-69.94201477579267,-68.36306740737162,-61.021066606201366,,
476810,"CITIBANK, N.A. (476810)",LargeBank,portfolio1,"<LM w/ ARIMA(0,1,0)(1,0,0)[4] errors>",0.0040647244208271835,24.22017106562252,-40.44034213124504,-37.36341905432196,-36.878855099660385,,
476810,"CITIBANK, N.A. (476810)",LargeBank,portfolio2,"<LM w/ ARIMA(0,1,0)(1,0,0)[4] errors>",0.0039028883297170408,24.51367578625369,-41.02735157250738,-37.9504284955843,-37.46586454092272,,
476810,"CITIBANK, N.A. (476810)",LargeBank,portfolio3,"<LM w/ ARIMA(0,1,0) errors>",0.004696506875127986,24.969898961642212,-39.939797923284424,-34.939797923284424,-35.4879391338036,,
476810,"CITIBANK, N.A. (476810)",LargeBank,portfolio4,"<LM w/ ARIMA(0,1,0)(1,0,0)[4] errors>",0.004476586970282913,23.112191909573472,-38.224383819146944,-35.14746074222386,-34.66289678756229,,
480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,portfolio1,"<LM w/ ARIMA(2,0,0) errors>",0.006328205441193697,33.00601733937433,-54.01203467874866,-50.01203467874866,-46.01880761769744,,
480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,portfolio2,"<LM w/ ARIMA(2,0,0) errors>",0.006314210985145807,33.04029857025409,-54.080597140508175,-50.080597140508175,-46.08737007945695,,
480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,portfolio3,"<LM w/ ARIMA(2,0,0) errors>",0.006520234088473728,33.16440618585268,-52.328812371705354,-46.72881237170535,-43.00338080047893,,
480228,"BANK OF AMERICA, NATIONAL ASSOCIATION (480228)",LargeBank,portfolio4,"<LM w/ ARIMA(1,0,0)(1,0,0)[4] errors>",0.007638150901310036,30.346491440251405,-48.69298288050281,-44.69298288050281,-40.69975581945159,,
491224,FIRST-CITIZENS BANK & TRUST COMPANY (491224),LargeBank,portfolio1,"<LM w/ ARIMA(1,0,0)(0,0,1)[4] errors>",0.014532922859603219,35.1518311304392,-58.3036622608784,-56.25488177307352,-47.07645619543105,,
491224,FIRST-CITIZENS BANK & TRUST COMPANY (491224),LargeBank,portfolio2,"<LM w/ ARIMA(1,0,0)(0,0,1)[4] errors>",0.014410975494425713,35.34037758339614,-58.68075516679228,-56.631974678987405,-47.45354910134493,,
491224,FIRST-CITIZENS BANK & TRUST COMPANY (491224),LargeBank,portfolio3,"<LM w/ ARIMA(1,0,0)(0,0,1)[4] errors>",0.014731187696279398,35.35627798930228,-56.712555978604556,-53.91255597860456,-43.61414890224932,,
491224,FIRST-CITIZENS BANK & TRUST COMPANY (491224),LargeBank,portfolio4,"<LM w/ ARIMA(1,0,0)(0,0,1)[4] errors>",0.014668344833443153,34.932873345802655,-57.86574669160531,-55.81696620380043,-46.63854062615796,,
497404,"TD BANK, N.A. (497404)",LargeBank,portfolio1,"<LM w/ ARIMA(2,0,0) errors>",0.011203095909473881,41.54857996726728,-71.09715993453456,-69.04837944672968,-59.86995386908721,,
497404,"TD BANK, N.A. (497404)",LargeBank,portfolio2,"<LM w/ ARIMA(2,0,0) errors>",0.011107077429555197,41.75597997878712,-71.51195995757423,-69.46317946976936,-60.284753892126886,,
497404,"TD BANK, N.A. (497404)",LargeBank,portfolio3,"<LM w/ ARIMA(2,0,0) errors>",0.011323845840356611,41.86253778496653,-69.72507556993305,-66.92507556993306,-56.62666849357782,,
497404,"TD BANK, N.A. (497404)",LargeBank,portfolio4,"<LM w/ ARIMA(1,0,0)(1,1,0)[4] errors>",0.01376476763037741,33.041711103555855,-56.08342220711171,-54.504474838690655,-47.162474037520404,,
501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,portfolio1,"<LM w/ ARIMA(0,1,1) errors>",0.01000108786561399,34.95697814766371,-61.913956295327424,-60.70183508320621,-55.36361165642188,,
501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,portfolio2,"<LM w/ ARIMA(0,1,1) errors>",0.009909042509790295,35.138313139855036,-62.27662627971007,-61.06450506758886,-55.72628164080453,,
501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,portfolio3,"<LM w/ ARIMA(0,1,1) errors>",0.010199745827466451,35.1394813603844,-60.2789627207688,-58.4039627207688,-52.09103192213688,,
501105,MANUFACTURERS AND TRADERS TRUST COMPANY (501105),LargeBank,portfolio4,"<LM w/ ARIMA(0,1,1)(1,0,0)[4] errors>",0.010518053198503309,34.39764559238659,-58.79529118477318,-56.92029118477318,-50.60736038614125,,
504713,U.S. BANK NATIONAL ASSOCIATION (504713),LargeBank,portfolio1,"<LM w/ ARIMA(0,1,0)(1,0,0)[4] errors>",0.00589576430242148,54.28046817922163,-100.56093635844326,-99.60855540606231,-93.16034595160302,,
504713,U.S. BANK NATIONAL ASSOCIATION (504713),LargeBank,portfolio2,"<LM w/ ARIMA(0,1,0)(1,0,0)[4] errors>",0.0058363716077405375,54.504654962361585,-101.00930992472317,-100.05692897234222,-93.60871951788293,,
504713,U.S. BANK NATIONAL ASSOCIATION (504713),LargeBank,portfolio3,"<LM w/ ARIMA(2,0,0)(0,1,1)[4] errors>",0.004592351925661025,56.88111600946995,-99.7622320189399,-96.65112090782878,-87.27290458151207,,
504713,U.S. BANK NATIONAL ASSOCIATION (504713),LargeBank,portfolio4,"<LM w/ ARIMA(2,0,0)(0,1,1)[4] errors>",0.004481541314458549,56.80278577624867,-101.60557155249734,-99.33530128222706,-90.90043374898778,,
722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,portfolio1,"<LM w/ ARIMA(2,0,0) errors>",0.06409359116968014,0.5776624250948643,10.844675149810271,13.469675149810271,20.826045026588147,,
722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,portfolio2,"<LM w/ ARIMA(2,0,0) errors>",0.06279508001730558,0.9743147525515425,10.051370494896915,12.676370494896915,20.03274037167479,,
722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,portfolio3,"<LM w/ ARIMA(1,0,0) errors>",0.050681225997434805,5.1543162019674185,1.691367596065163,4.316367596065163,11.67273747284304,,
722777,"SANTANDER BANK, NATIONAL ASSOCIATION (722777)",LargeBank,portfolio4,"<LM w/ ARIMA(1,0,0) errors>",0.06057573825835028,1.0351877238709335,7.929624552258133,9.747806370439951,16.247432782906365,,
723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,portfolio1,"<LM w/ ARIMA(1,0,0) errors>",0.018562734106276554,28.9929705833273,-47.9859411666546,-46.55736973808317,-38.629936112115146,,
723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,portfolio2,"<LM w/ ARIMA(1,0,0) errors>",0.018405345055494363,29.191861616367312,-48.383723232734624,-46.955151804163194,-39.02771817819517,,
723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,portfolio3,"<LM w/ ARIMA(1,0,0) errors>",0.01881805848989213,29.20490754327674,-46.40981508655348,-44.3610345987486,-35.18260902110613,,
723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION (723112)",LargeBank,portfolio4,"<LM w/ ARIMA(1,0,0)(1,0,0)[4] errors>",0.019732275997953266,27.76966205597386,-43.53932411194772,-41.490543624142845,-32.31211804650037,,
817824,"PNC BANK, NATIONAL ASSOCIATION (817824)",LargeBank,portfolio1,"<LM w/ ARIMA(1,0,0) errors>",0.0158684633149476,32.57225246132587,-55.144504922651734,-53.7159334940803,-45.78849986811228,,
817824,"PNC BANK, NATIONAL ASSOCIATION (817824)",LargeBank,portfolio2,"<LM w/ ARIMA(1,0,0) errors>",0.0161495825994247,32.16615431373089,-54.332308627461785,-52.903737198890354,-44.97630357292233,,
817824,"PNC BANK, NATIONAL ASSOCIATION (817824)",LargeBank,portfolio3,"<LM w/ ARIMA(1,0,0) errors>",0.0139317536097724,36.16745794228428,-60.33491588456856,-58.28613539676368,-49.10770981912121,,
817824,"PNC BANK, NATIONAL ASSOCIATION (817824)",LargeBank,portfolio4,"<LM w/ ARIMA(1,0,0) errors>",0.015475735304569787,33.213333102678924,-56.42666620535785,-54.99809477678642,-47.070661150818395,,
852218,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION (852218)",LargeBank,portfolio1,"<LM w/ ARIMA(1,1,1)(0,1,1)[4] errors>",0.003304766298690182,60.29354658087607,-108.58709316175214,-106.25375982841881,-98.01989246759076,,
852218,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION (852218)",LargeBank,portfolio2,"<LM w/ ARIMA(1,1,1)(0,1,1)[4] errors>",0.0033234012742953227,60.20904008984793,-108.41808017969586,-106.08474684636253,-97.85087948553449,,
852218,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION (852218)",LargeBank,portfolio3,"<LM w/ ARIMA(1,1,0)(1,1,1)[4] errors>",0.0032205342522714105,60.43500221518711,-106.87000443037422,-103.67000443037422,-94.54160362051928,,
852218,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION (852218)",LargeBank,portfolio4,"<LM w/ ARIMA(1,1,0)(1,1,2)[4] errors>",0.0027715125270397533,62.417979435241136,-110.83595887048227,-107.63595887048227,-98.50755806062733,,
852320,TRUIST BANK (852320),LargeBank,portfolio1,"<LM w/ ARIMA(2,1,1)(0,0,1)[4] errors>",0.008405256672585229,40.747983661785206,-67.49596732357041,-64.10202792963102,-55.50096285664026,,
852320,TRUIST BANK (852320),LargeBank,portfolio2,"<LM w/ ARIMA(2,1,1)(1,0,0)[4] errors>",0.009201538508204328,40.443761495924285,-66.88752299184857,-63.49358359790918,-54.892518524918415,,
852320,TRUIST BANK (852320),LargeBank,portfolio3,"<LM w/ ARIMA(0,1,1)(1,0,0)[4] errors>",0.011672267786314429,35.45380745563468,-58.90761491126936,-56.43702667597525,-48.62618251104352,,
852320,TRUIST BANK (852320),LargeBank,portfolio4,"<LM w/ ARIMA(0,1,1)(1,0,0)[4] errors>",0.01136574963205361,35.44158288925231,-60.88316577850462,-59.168880064218904,-52.31530544498308,,
1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,portfolio1,"<LM w/ ARIMA(2,0,0)(0,1,0)[4] errors>",0.005095294358489124,25.873620595580334,-41.74724119116067,-37.461526905446384,-36.768579823390716,,
1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,portfolio2,"<LM w/ ARIMA(2,0,0)(0,1,0)[4] errors>",0.0050622690965386385,25.93589269875318,-41.87178539750636,-37.58607111179207,-36.893124029736406,,
1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,portfolio3,"<LM w/ ARIMA(1,0,0)(0,1,0)[4] errors>",0.00627908701105231,24.06495713921865,-38.1299142784373,-33.84419999272301,-33.151252910667345,,
1216022,SYNCHRONY BANK (1216022),LargeCreditCardBank,portfolio4,"<LM w/ ARIMA(1,0,0)(0,1,0)[4] errors>",0.0063546930227658446,23.395508143316654,-38.79101628663331,-36.124349619966644,-34.80808719241735,,
1391778,COMENITY BANK (1391778),LargeCreditCardBank,portfolio1,"<LM w/ ARIMA(1,0,0)(1,0,0)[4] errors>",0.10335100394763987,-11.621635997866214,35.24327199573243,37.292052483537304,46.470478061179776,,
1391778,COMENITY BANK (1391778),LargeCreditCardBank,portfolio2,"<LM w/ ARIMA(1,0,0)(1,0,0)[4] errors>",0.1027064515638206,-11.496128387212103,34.992256774424206,37.04103726222908,46.219462839871554,,
1391778,COMENITY BANK (1391778),LargeCreditCardBank,portfolio3,"<LM w/ ARIMA(1,0,0)(1,0,0)[4] errors>",0.10512921476156345,-11.491205883192215,36.98241176638443,39.78241176638443,50.08081884273967,,
1391778,COMENITY BANK (1391778),LargeCreditCardBank,portfolio4,"<LM w/ ARIMA(1,0,0)(1,0,0)[4] errors>",0.10276826901897579,-11.497584580788995,34.99516916157799,37.04394964938287,46.22237522702534,,
1394676,AMERICAN EXPRESS NATIONAL BANK (1394676),LargeCreditCardBank,portfolio1,"<LM w/ ARIMA(2,0,0)(0,1,0)[4] errors>",0.0015107871744608427,28.339305175498133,-46.678610350996266,-40.0119436843296,-43.13835934548521,,
1394676,AMERICAN EXPRESS NATIONAL BANK (1394676),LargeCreditCardBank,portfolio2,"<LM w/ ARIMA(2,0,0)(0,1,0)[4] errors>",0.0015018221285873678,28.38036668404034,-46.76073336808068,-40.094066701414015,-43.220482362569626,,
1394676,AMERICAN EXPRESS NATIONAL BANK (1394676),LargeCreditCardBank,portfolio3,"<LM w/ ARIMA(1,0,0) errors>",0.003935556444345964,28.353833450190894,-44.70766690038179,-37.70766690038179,-39.04103302538314,,
1394676,AMERICAN EXPRESS NATIONAL BANK (1394676),LargeCreditCardBank,portfolio4,"<LM w/ ARIMA(2,0,0)(0,1,0)[4] errors>",0.0018712246153383576,27.046418123400016,-44.09283624680003,-37.42616958013337,-40.55258524128898,,
2182786,GOLDMAN SACHS BANK USA (2182786),LargeBank,portfolio1,"<LM w/ ARIMA(0,0,0) errors>",0.06593719636974052,1.4047164919113797,5.190567016177241,18.523900349510576,5.508333182896584,,
2182786,GOLDMAN SACHS BANK USA (2182786),LargeBank,portfolio2,"<LM w/ ARIMA(0,0,0) errors>",0.06443836537110513,1.4966906020481865,5.006618795903627,18.339952129236963,5.32438496262297,,
2182786,GOLDMAN SACHS BANK USA (2182786),LargeBank,portfolio3,"<LM w/ ARIMA(0,0,0) errors>",0.07168890330114652,1.9627576927159662,6.0744846145680675,36.074484614568064,6.471692322967247,,
2182786,GOLDMAN SACHS BANK USA (2182786),LargeBank,portfolio4,"<LM w/ ARIMA(0,0,0) errors>",0.10187876919779634,-0.33560690927463455,8.671213818549269,22.004547151882605,8.988979985268612,,
2615190,MERRICK BANK CORPORATION (2615190),LargeCreditCardBank,portfolio1,"<LM w/ ARIMA(3,0,0) errors>",0.0861120212658644,-7.346865453787743,28.693730907575485,31.493730907575486,41.79213798393072,,
