.id,UBPRE524.diff.observed,new_data,forecast
1,-0.19999999999999996,,
2,0.06000000000000005,,
3,-0.13000000000000012,,
4,-0.28,,
5,-0.05000000000000004,,
6,0.05000000000000004,,
7,0.05000000000000004,,
8,-0.20999999999999996,,
9,-0.06000000000000005,,
10,0.16000000000000014,,
11,0,,
12,-0.18000000000000016,,
13,-0.01,,
14,0.08000000000000007,,
15,0.04000000000000003,,
16,-0.19999999999999996,,
17,0.05999999999999983,,
18,0.1200000000000001,,
19,-0.02000000000000001,,
20,-0.15999999999999992,,
21,-0.01,,
22,0.1399999999999999,,
23,0.02000000000000001,,
24,-0.06000000000000005,,
25,0.06000000000000005,,
26,0.07000000000000006,,
27,-0.03000000000000002,,
28,-0.09000000000000008,,
29,-0.03000000000000002,,
30,0.10000000000000007,,
31,0.02000000000000001,,
32,-0.13000000000000012,,
33,-0.01,,
34,0.13000000000000012,,
35,0.02000000000000001,,
36,-0.07000000000000006,,
37,-0.29000000000000004,,
38,0,,
39,0.24,,
40,-0.31999999999999995,,
41,-0.17000000000000004,,
42,0.06000000000000005,,
43,0.05000000000000004,,
44,-0.01,,
45,0.01,,
46,0.1399999999999999,,
47,0.1100000000000001,,
48,0.01,,
49,0.10999999999999988,,
