.id,UBPRE524.diff.observed,new_data,forecast
1,-0.6799999999999997,,
2,-0.13000000000000012,,
3,-0.18999999999999995,,
4,0.08000000000000007,,
5,-0.17000000000000015,,
6,-0.06999999999999984,,
7,0.11999999999999988,,
8,-0.04000000000000003,,
9,-0.11999999999999988,,
10,-0.06000000000000005,,
11,0.06000000000000005,,
12,0.24,,
13,-0.24,,
14,-0.05000000000000004,,
15,0.09000000000000008,,
16,-0.06000000000000005,,
17,-0.04000000000000003,,
18,-0.13,,
19,0.18000000000000005,,
20,-0.07000000000000006,,
21,0.03000000000000002,,
22,-0.03000000000000002,,
23,0.14000000000000012,,
24,-0.13000000000000012,,
25,0.1100000000000001,,
26,-0.42,,
27,-0.06000000000000005,,
28,0.19000000000000009,,
29,-0.10000000000000007,,
30,-0.16999999999999993,,
31,0.09999999999999998,,
32,0.04999999999999993,,
33,0.06000000000000005,,
34,-0.13,,
35,0.11,,
36,0.11,,
37,0.09000000000000008,,
38,0.02999999999999991,,
