.id,UBPRE524.diff.observed,new_data,forecast
1,-0.2599999999999999,,
2,0.09999999999999998,,
3,0.01,,
4,-0.16000000000000003,,
5,0.39,,
6,0.20999999999999996,,
7,-0.06000000000000005,,
8,-0.05999999999999983,,
9,-0.05000000000000004,,
10,0.08000000000000007,,
11,-0.03000000000000002,,
12,-0.1200000000000001,,
13,-0.03000000000000002,,
14,-0.1399999999999999,,
15,0.09000000000000008,,
16,-0.2300000000000001,,
17,-0.01,,
18,0.12,,
19,-0.02000000000000001,,
20,-0.04999999999999993,,
21,0.0199999999999999,,
22,0.13000000000000012,,
23,-0.01,,
24,0.05000000000000004,,
25,0.00999999999999978,,
26,0.2300000000000002,,
27,-0.01,,
28,0.20999999999999996,,
29,-0.17000000000000015,,
30,0.20000000000000015,,
31,0.09999999999999988,,
32,-0.05000000000000004,,
33,-0.01999999999999979,,
34,0.17999999999999994,,
35,-0.03000000000000002,,
36,-0.08000000000000007,,
37,-0.33999999999999986,,
38,0.07999999999999985,,
39,0.1200000000000001,,
40,-0.54,,
41,-0.17000000000000004,,
42,0.14,,
43,0.05000000000000004,,
44,-0.03000000000000002,,
45,-0.06000000000000005,,
46,0.08000000000000007,,
47,0.09000000000000008,,
48,-0.09000000000000008,,
49,0.08000000000000007,,
