.id,UBPRE524.diff.observed,new_data,forecast
1,-0.25,,
2,0.17999999999999994,,
3,-0.25,,
4,-0.1200000000000001,,
5,-0.1299999999999999,,
6,0.06000000000000005,,
7,-0.04000000000000003,,
8,-0.09000000000000008,,
9,-0.09999999999999988,,
10,0.10999999999999988,,
11,-0.07999999999999985,,
12,-0.06000000000000005,,
13,-0.04000000000000003,,
14,0.06000000000000005,,
15,-0.01,,
16,-0.03000000000000002,,
17,-0.04000000000000003,,
18,0.1200000000000001,,
19,0.0299999999999998,,
20,-0.05999999999999983,,
21,0.04000000000000003,,
22,0.1499999999999999,,
23,0.08000000000000007,,
24,-0.2200000000000002,,
25,-0.0299999999999998,,
26,0.10999999999999988,,
27,0.01,,
28,-0.09000000000000008,,
29,0.02000000000000001,,
30,0.10000000000000007,,
31,0,,
32,-0.08000000000000007,,
33,-0.06999999999999984,,
34,0.11999999999999988,,
35,0,,
36,0,,
37,-0.27,,
38,0.25,,
39,-0.1399999999999999,,
40,-0.20000000000000007,,
41,-0.19999999999999996,,
42,0.04999999999999993,,
43,0.05000000000000004,,
