.id,UBPRE524.diff.observed,new_data,forecast
1,-0.21999999999999997,,
2,0.0299999999999998,,
3,-0.11999999999999988,,
4,-0.14000000000000012,,
5,-0.07999999999999985,,
6,0.06000000000000005,,
7,-0.07000000000000006,,
8,-0.08000000000000007,,
9,-0.12,,
10,0.03000000000000002,,
11,-0.04000000000000003,,
12,-0.04999999999999993,,
13,-0.06000000000000005,,
14,0.05000000000000004,,
15,-0.11,,
16,-0.01,,
17,0.02000000000000001,,
18,0.12,,
19,-0.04000000000000003,,
20,-0.02000000000000001,,
21,0.02000000000000001,,
22,0.13,,
23,0.02000000000000001,,
24,-0.03000000000000002,,
25,0.01,,
26,0.15000000000000002,,
27,-0.04000000000000003,,
28,-0.06000000000000005,,
29,-0.04999999999999993,,
30,NA,,
31,0.01,,
32,-0.04000000000000003,,
33,-0.11,,
34,0.09999999999999998,,
35,-0.02999999999999991,,
36,0.0199999999999999,,
37,-0.18999999999999995,,
38,0.11,,
39,-0.12,,
40,-0.15000000000000002,,
41,-0.12,,
42,0.05000000000000004,,
43,0.01,,
44,0.02000000000000001,,
45,0,,
46,0.12,,
47,0.09999999999999998,,
48,0.07999999999999996,,
49,0.01,,
