.id,UBPRE524.diff.observed,new_data,forecast
1,-0.13000000000000012,,
2,0.16000000000000014,,
3,0.03000000000000002,,
4,-0.18000000000000016,,
5,-0.11999999999999988,,
6,0.10999999999999988,,
7,-0.04999999999999982,,
8,0,,
9,-0.02000000000000001,,
10,0.21999999999999997,,
11,0.01,,
12,-0.02000000000000001,,
13,-0.07000000000000006,,
14,0.30000000000000004,,
15,-0.10000000000000007,,
16,-0.06999999999999984,,
17,-0.01,,
18,0.17999999999999994,,
19,0.08000000000000007,,
20,-0.09000000000000008,,
21,-0.18999999999999995,,
22,0.06000000000000005,,
23,0.01,,
24,0.00999999999999978,,
25,-0.30999999999999983,,
26,0.02000000000000001,,
27,0.05999999999999983,,
28,-0.06999999999999984,,
29,-0.1100000000000001,,
30,0.09000000000000008,,
31,0.20999999999999996,,
32,-0.1200000000000001,,
33,-0.03999999999999981,,
34,0.31999999999999984,,
35,-0.1499999999999999,,
36,-0.05000000000000004,,
37,0.07000000000000006,,
