BankType,.model,.model_spec,sigma2,log_lik,AIC,AICc,BIC,ar_roots,ma_roots
LargeCreditCardBank,debth1,"<LM w/ ARIMA(1,0,1)(1,0,0)[4] errors>",0.05072280427780601,4.881836429453955,2.23632714109209,4.023561183645281,14.170231420477737,,
LargeCreditCardBank,debth2,"<LM w/ ARIMA(1,0,1)(0,0,2)[4] errors>",0.05569287578389085,2.4629647177900154,9.07407056441997,11.508853173115622,22.99695889036989,,
LargeCreditCardBank,debth3,"<LM w/ ARIMA(2,0,0)(1,0,0)[4] errors>",0.048152080777215465,6.757254019507286,0.4854919609854278,2.92027456968108,14.40838028693535,,
LargeCreditCardBank,debth4,"<LM w/ ARIMA(2,0,0)(1,0,0)[4] errors>",0.04848461928536582,7.1528333970146605,1.694333205970679,4.894333205970679,17.606205578484875,,
LargeCreditCardBank,debth5,"<LM w/ ARIMA(2,0,0)(1,0,0)[4] errors>",0.04886537628921852,7.452824543864921,3.0943509122701585,7.185260003179249,20.99520733134863,,
