.id,UBPRE524.diff.observed,new_data,forecast
1,0.01,,
2,0.1299999999999999,,
3,-0.27,,
4,-0.21999999999999997,,
5,0.32000000000000006,,
6,0.10999999999999988,,
7,-0.10999999999999988,,
8,-0.18999999999999995,,
9,-0.15000000000000013,,
10,0.5700000000000001,,
11,0.1200000000000001,,
12,-0.4500000000000002,,
13,-0.19999999999999996,,
14,0.09000000000000008,,
15,0.01,,
16,-0.03000000000000002,,
17,-0.25,,
18,0.17999999999999994,,
19,-0.02000000000000001,,
20,-0.1499999999999999,,
21,-0.06000000000000005,,
22,0.17999999999999994,,
23,-0.1399999999999999,,
24,0.01,,
25,-0.09000000000000008,,
26,0.09000000000000008,,
27,-0.18000000000000016,,
28,0.19000000000000017,,
29,-0.03000000000000002,,
30,0.08999999999999986,,
31,-0.06999999999999984,,
32,0.18999999999999995,,
33,-0.1100000000000001,,
34,0.05000000000000004,,
35,0.26,,
36,0.23,,
37,-0.26,,
38,-0.27,,
39,0.75,,
40,-0.2999999999999998,,
41,-0.29000000000000004,,
42,-0.04000000000000003,,
43,-0.4099999999999999,,
44,0.20999999999999996,,
45,-0.44000000000000006,,
46,0.11,,
47,0.05000000000000004,,
48,0.29000000000000004,,
49,-0.3900000000000001,,
