.id,UBPRE524.diff.observed,new_data,forecast
1,0,,
2,0.06000000000000005,,
3,0.0199999999999999,,
4,-0.17999999999999994,,
5,0.01,,
6,0.09999999999999998,,
7,-0.01,,
8,-0.09999999999999998,,
9,-0.01,,
10,0.08999999999999997,,
11,0.04000000000000003,,
12,-0.09999999999999998,,
13,-0.02000000000000001,,
14,0.08999999999999997,,
15,-0.02000000000000001,,
16,-0.05999999999999994,,
17,-0.03000000000000002,,
18,0.18000000000000005,,
19,-0.03000000000000002,,
20,0.01,,
21,0.02000000000000001,,
22,0.08999999999999997,,
23,0.05000000000000004,,
24,0.05000000000000004,,
25,-0.3800000000000001,,
26,0.09999999999999998,,
27,0.29000000000000015,,
28,-0.29000000000000015,,
29,-0.05999999999999994,,
30,0.14,,
31,0.07999999999999996,,
32,0.09000000000000008,,
33,0.03000000000000002,,
34,0.1299999999999999,,
35,0.09000000000000008,,
36,-0.02000000000000001,,
37,0.09999999999999988,,
