.id,UBPRE524.diff.observed,new_data,forecast
1,0.1100000000000001,,
2,-0.20999999999999996,,
3,-0.1100000000000001,,
4,0.07000000000000006,,
5,0.18999999999999995,,
6,-0.1499999999999999,,
7,-0.1200000000000001,,
8,0.09000000000000008,,
9,0.19999999999999996,,
10,-0.15999999999999992,,
11,-0.03000000000000002,,
12,0.19999999999999996,,
13,0.16999999999999993,,
14,0.03000000000000002,,
15,-0.03000000000000002,,
16,0.1499999999999999,,
17,0.18999999999999995,,
18,-0.2799999999999998,,
19,-0.08000000000000007,,
20,0.06000000000000005,,
21,0.20999999999999996,,
22,-0.23,,
23,0.04999999999999982,,
