.id,UBPRE524.diff.observed,new_data,forecast
1,-0.26,,
2,0,,
3,-0.08000000000000007,,
4,-0.13,,
5,-0.06999999999999995,,
6,0.02999999999999991,,
7,-0.04999999999999993,,
8,-0.03000000000000002,,
9,-0.06000000000000005,,
10,0.10000000000000007,,
11,0,,
12,-0.04000000000000003,,
13,-0.01,,
14,0.05000000000000004,,
15,0,,
16,-0.10000000000000007,,
17,0.01,,
18,0.07000000000000006,,
19,0,,
20,-0.06000000000000005,,
21,0.03000000000000002,,
22,0.16000000000000003,,
23,0.05999999999999994,,
24,-0.03999999999999992,,
25,-0.01,,
26,0.11,,
27,0.05000000000000004,,
28,-0.03000000000000002,,
29,-0.08000000000000007,,
30,0.1200000000000001,,
31,0.01,,
32,-0.02000000000000001,,
33,-0.03000000000000002,,
34,0.11999999999999988,,
35,0.03000000000000002,,
36,-0.05000000000000004,,
37,-0.2699999999999999,,
38,0,,
39,0.06999999999999995,,
40,-0.20999999999999996,,
41,-0.12,,
42,0.12,,
43,0.08999999999999997,,
44,0.03000000000000002,,
45,0.04000000000000003,,
46,0.22000000000000008,,
47,0.20999999999999996,,
48,0.02000000000000001,,
49,0.07999999999999985,,
