.id,UBPRE524.diff.observed,new_data,forecast
1,0.15000000000000002,,
2,-0.16000000000000003,,
3,0.06000000000000005,,
4,-0.17000000000000004,,
5,0.12,,
6,0.15000000000000002,,
7,0.07000000000000006,,
8,0.07999999999999985,,
9,0.3500000000000001,,
10,-0.28,,
11,0.19999999999999996,,
12,0.08000000000000007,,
13,0,,
14,-0.04000000000000003,,
15,0.26,,
16,-0.07000000000000006,,
17,0.05000000000000004,,
18,0.01,,
19,0.07000000000000006,,
20,0.1499999999999999,,
21,0.02000000000000001,,
22,0.74,,
23,-1.3299999999999998,,
24,-0.08000000000000007,,
25,-0.27,,
26,-0.06999999999999995,,
27,-0.02000000000000001,,
28,0.04999999999999993,,
29,0.31000000000000005,,
30,-0.20999999999999996,,
31,0.1499999999999999,,
32,0.17999999999999994,,
33,0,,
34,0.01,,
