Quarter,IDRSSD,BankName,BankType,UBPR3815.Value,UBPRB538.Value,UBPRE263.Value,UBPRE425.Value,UBPRE524.Value,UBPR3815.diff,UBPRB538.diff,UBPRE263.diff,UBPRE425.diff,UBPRE524.diff,UBPR3815.diff.lag1,UBPRB538.diff.lag1,UBPRE263.diff.lag1,UBPRE425.diff.lag1,UBPRE524.diff.lag1,UBPR3815.diff.lag2,UBPRB538.diff.lag2,UBPRE263.diff.lag2,UBPRE425.diff.lag2,UBPRE524.diff.lag2,UBPR3815.diff.lag3,UBPRB538.diff.lag3,UBPRE263.diff.lag3,UBPRE425.diff.lag3,UBPRE524.diff.lag3,UBPR3815.diff.lag4,UBPRB538.diff.lag4,UBPRE263.diff.lag4,UBPRE425.diff.lag4,UBPRE524.diff.lag4,UBPRE524.group.diff,UBPRE524.group.diff.lag1,UBPRE524.group.diff.lag2,UBPRE524.group.diff.lag3,UBPRE524.group.diff.lag4,UNRATE.raw,PSAVERT.raw,CSCICP03USM665S.raw,CDSP.raw,TDSP.raw,PSAVE.raw,B069RC1.Pop.CPI.raw,PCEDG.Pop.CPI.raw,PCE.Pop.CPI.raw,RRSFS.Pop.raw,A229RC0.CPI.raw,UNRATE.pct_change,PSAVERT.pct_change,CSCICP03USM665S.pct_change,CDSP.pct_change,TDSP.pct_change,PSAVE.pct_change,B069RC1.Pop.CPI.pct_change,PCEDG.Pop.CPI.pct_change,PCE.Pop.CPI.pct_change,RRSFS.Pop.pct_change,A229RC0.CPI.pct_change,UNRATE.pct_change.lag1,PSAVERT.pct_change.lag1,CSCICP03USM665S.pct_change.lag1,CDSP.pct_change.lag1,TDSP.pct_change.lag1,PSAVE.pct_change.lag1,B069RC1.Pop.CPI.pct_change.lag1,PCEDG.Pop.CPI.pct_change.lag1,PCE.Pop.CPI.pct_change.lag1,RRSFS.Pop.pct_change.lag1,A229RC0.CPI.pct_change.lag1,UNRATE.pct_change.lag2,PSAVERT.pct_change.lag2,CSCICP03USM665S.pct_change.lag2,CDSP.pct_change.lag2,TDSP.pct_change.lag2,PSAVE.pct_change.lag2,B069RC1.Pop.CPI.pct_change.lag2,PCEDG.Pop.CPI.pct_change.lag2,PCE.Pop.CPI.pct_change.lag2,RRSFS.Pop.pct_change.lag2,A229RC0.CPI.pct_change.lag2,UNRATE.pct_change.lag3,PSAVERT.pct_change.lag3,CSCICP03USM665S.pct_change.lag3,CDSP.pct_change.lag3,TDSP.pct_change.lag3,PSAVE.pct_change.lag3,B069RC1.Pop.CPI.pct_change.lag3,PCEDG.Pop.CPI.pct_change.lag3,PCE.Pop.CPI.pct_change.lag3,RRSFS.Pop.pct_change.lag3,A229RC0.CPI.pct_change.lag3,UNRATE.pct_change.lag4,PSAVERT.pct_change.lag4,CSCICP03USM665S.pct_change.lag4,CDSP.pct_change.lag4,TDSP.pct_change.lag4,PSAVE.pct_change.lag4,B069RC1.Pop.CPI.pct_change.lag4,PCEDG.Pop.CPI.pct_change.lag4,PCE.Pop.CPI.pct_change.lag4,RRSFS.Pop.pct_change.lag4,A229RC0.CPI.pct_change.lag4
2013 Q2,12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,NA,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03555555555555558,0.05454545454545453,0.020909090909090905,0.0740909090909091,0.16454545454545455,7.533333333333333,5.266666666666667,99.53995162543643,5.202495,10.180452,650.812,7.5758061116218494e-6,3.925980082236337e-5,3.7406469683679515e-4,0.5631410354256127,408.36171828219943,-0.025862068965517265,0.09722222222222225,0.00653262254556154,0.0029990713212552002,-0.008176336469324823,0.1030468820178538,-0.0060815067297341685,-0.003978449547380028,0.0011515466181690394,-0.001831536486271579,0.005859187586696304,-0.008547008547008517,-0.4744525547445255,-0.002595281211599271,0.05511306644849481,0.037333016135069785,-0.4924497106166858,-0.00611865758386082,0.017278810738103997,0.004878203210078042,0.012089927984429972,-0.0411674202837325,-0.02904564315352698,0.3110047846889951,0.0033153768522222004,-0.022140663269091605,-0.03174857281528688,0.35185310090590877,-0.008325750536180504,0.011409050994269853,0.0019038568100248014,0.005039769024686425,0.025695749639175466,-0.02032520325203245,-0.11814345991561184,-8.427318941777126e-5,0.015920081317078043,0.006483421134790755,-0.11719806297089837,3.52387772573124e-4,0.002123154995210661,-6.542547724997384e-5,0.0018324657316614494,-0.00999708369953389,-0.008064516129032443,0.06278026905829598,9.980442850536723e-4,-0.002065631961777642,-0.010583500613903504,0.07081617015756593,-5.179479352302574e-4,-0.008151477775231246,-2.7373204617194882e-5,-0.005941172582384779,0.004926814710220974
2013 Q3,12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,NA,10980,NA,NA,NA,NA,10210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05555555555555559,-0.03555555555555558,0.05454545454545453,0.020909090909090905,0.0740909090909091,7.233333333333333,5.233333333333333,99.4164740387313,5.225513,10.144262,652.167,7.530936348703841e-6,3.9158864345380534e-5,3.747999121408949e-4,0.5641824363426137,408.93293858758534,-0.0398230088495575,-0.00632911392405061,-0.0012404826874919032,0.004424415592903103,-0.0035548519849611074,0.0020820144680799035,-0.005922770759559863,-0.0025709880047414813,0.0019654763208529816,0.0018492719434198704,0.0013988096332554947,-0.025862068965517265,0.09722222222222225,0.00653262254556154,0.0029990713212552002,-0.008176336469324823,0.1030468820178538,-0.0060815067297341685,-0.003978449547380028,0.0011515466181690394,-0.001831536486271579,0.005859187586696304,-0.008547008547008517,-0.4744525547445255,-0.002595281211599271,0.05511306644849481,0.037333016135069785,-0.4924497106166858,-0.00611865758386082,0.017278810738103997,0.004878203210078042,0.012089927984429972,-0.0411674202837325,-0.02904564315352698,0.3110047846889951,0.0033153768522222004,-0.022140663269091605,-0.03174857281528688,0.35185310090590877,-0.008325750536180504,0.011409050994269853,0.0019038568100248014,0.005039769024686425,0.025695749639175466,-0.02032520325203245,-0.11814345991561184,-8.427318941777126e-5,0.015920081317078043,0.006483421134790755,-0.11719806297089837,3.52387772573124e-4,0.002123154995210661,-6.542547724997384e-5,0.0018324657316614494,-0.00999708369953389
2013 Q4,12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,199069,42239,0.34,NA,NA,NA,31259,NA,NA,NA,NA,10210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00944444444444441,NA,NA,NA,NA,6.933333333333334,4.566666666666666,98.99844723552776,5.269051,10.169299,569.795,7.498376882457888e-6,3.912589393783095e-5,3.772950635330413e-4,0.5651054565495186,408.6218279900326,-0.04147465437788016,-0.1273885350318472,-0.004204804155905529,0.008331813546344609,0.002468094771211655,-0.1263050721670984,-0.004323428686468241,-8.419653659714985e-4,0.006657289159684706,0.0016360314455879437,-7.607863495351399e-4,-0.0398230088495575,-0.00632911392405061,-0.0012404826874919032,0.004424415592903103,-0.0035548519849611074,0.0020820144680799035,-0.005922770759559863,-0.0025709880047414813,0.0019654763208529816,0.0018492719434198704,0.0013988096332554947,-0.025862068965517265,0.09722222222222225,0.00653262254556154,0.0029990713212552002,-0.008176336469324823,0.1030468820178538,-0.0060815067297341685,-0.003978449547380028,0.0011515466181690394,-0.001831536486271579,0.005859187586696304,-0.008547008547008517,-0.4744525547445255,-0.002595281211599271,0.05511306644849481,0.037333016135069785,-0.4924497106166858,-0.00611865758386082,0.017278810738103997,0.004878203210078042,0.012089927984429972,-0.0411674202837325,-0.02904564315352698,0.3110047846889951,0.0033153768522222004,-0.022140663269091605,-0.03174857281528688,0.35185310090590877,-0.008325750536180504,0.011409050994269853,0.0019038568100248014,0.005039769024686425,0.025695749639175466
2014 Q1,12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,348411,60859,0.57,0.12,NA,149342,18620,0.22999999999999993,NA,NA,NA,31259,NA,NA,NA,NA,10210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.14277777777777775,0.00944444444444441,NA,NA,NA,6.666666666666667,5.233333333333333,99.4681824684245,5.29148,10.101298,667.866,7.68094750932412e-6,3.91908130355386e-5,3.779708047061139e-4,0.565209042914677,412.6478495718972,-0.03846153846153845,0.14598540145985409,0.004744874753229095,0.004256743766571971,-0.006686891594002757,0.17211628743670976,0.02434801954184874,0.0016592361521709333,0.0017910151454007782,1.833044858403617e-4,0.009852683596635476,-0.04147465437788016,-0.1273885350318472,-0.004204804155905529,0.008331813546344609,0.002468094771211655,-0.1263050721670984,-0.004323428686468241,-8.419653659714985e-4,0.006657289159684706,0.0016360314455879437,-7.607863495351399e-4,-0.0398230088495575,-0.00632911392405061,-0.0012404826874919032,0.004424415592903103,-0.0035548519849611074,0.0020820144680799035,-0.005922770759559863,-0.0025709880047414813,0.0019654763208529816,0.0018492719434198704,0.0013988096332554947,-0.025862068965517265,0.09722222222222225,0.00653262254556154,0.0029990713212552002,-0.008176336469324823,0.1030468820178538,-0.0060815067297341685,-0.003978449547380028,0.0011515466181690394,-0.001831536486271579,0.005859187586696304,-0.008547008547008517,-0.4744525547445255,-0.002595281211599271,0.05511306644849481,0.037333016135069785,-0.4924497106166858,-0.00611865758386082,0.017278810738103997,0.004878203210078042,0.012089927984429972,-0.0411674202837325
2014 Q2,12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,462921,84449,0.73,0.14,0.61,114510,23590,0.16000000000000003,0.020000000000000018,NA,149342,18620,0.22999999999999993,NA,NA,NA,31259,NA,NA,NA,NA,10210,NA,NA,NA,NA,NA,NA,NA,NA,-0.04944444444444447,-0.14277777777777775,0.00944444444444441,NA,NA,6.2,5.533333333333333,99.56893055487284,5.312735,10.045591,715.105,7.73290089768357e-6,4.012810806685755e-5,3.80903417584062e-4,0.5745502592155212,417.0731609066361,-0.07000000000000002,0.05732484076433118,0.0010128674712671652,0.004016834609598831,-0.005514835816149563,0.07073125447320276,0.006763929618889098,0.023916192564543175,0.007758834389942605,0.016527011409218206,0.010724183681872855,-0.03846153846153845,0.14598540145985409,0.004744874753229095,0.004256743766571971,-0.006686891594002757,0.17211628743670976,0.02434801954184874,0.0016592361521709333,0.0017910151454007782,1.833044858403617e-4,0.009852683596635476,-0.04147465437788016,-0.1273885350318472,-0.004204804155905529,0.008331813546344609,0.002468094771211655,-0.1263050721670984,-0.004323428686468241,-8.419653659714985e-4,0.006657289159684706,0.0016360314455879437,-7.607863495351399e-4,-0.0398230088495575,-0.00632911392405061,-0.0012404826874919032,0.004424415592903103,-0.0035548519849611074,0.0020820144680799035,-0.005922770759559863,-0.0025709880047414813,0.0019654763208529816,0.0018492719434198704,0.0013988096332554947,-0.025862068965517265,0.09722222222222225,0.00653262254556154,0.0029990713212552002,-0.008176336469324823,0.1030468820178538,-0.0060815067297341685,-0.003978449547380028,0.0011515466181690394,-0.001831536486271579,0.005859187586696304
2014 Q3,12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,584358,105715,0.91,0.16,0.77,121437,21266,0.18000000000000005,0.01999999999999999,0.16000000000000003,114510,23590,0.16000000000000003,0.020000000000000018,NA,149342,18620,0.22999999999999993,NA,NA,NA,31259,NA,NA,NA,NA,10210,NA,NA,NA,0.054736842105263174,-0.04944444444444447,-0.14277777777777775,0.00944444444444441,NA,6.066666666666666,5.433333333333334,99.67075230405347,5.355042,10.022488,714.945,7.844823156273252e-6,4.047931345019573e-5,3.838412545125701e-4,0.5766371753721884,420.082541965374,-0.02150537634408609,-0.018072289156626443,0.001022625718818134,0.007963318328506898,-0.00229981491382645,-2.2374336635874194e-4,0.01447351518796898,0.008752104204689415,0.0077128132562889196,0.0036322604040187195,0.007215475223090608,-0.07000000000000002,0.05732484076433118,0.0010128674712671652,0.004016834609598831,-0.005514835816149563,0.07073125447320276,0.006763929618889098,0.023916192564543175,0.007758834389942605,0.016527011409218206,0.010724183681872855,-0.03846153846153845,0.14598540145985409,0.004744874753229095,0.004256743766571971,-0.006686891594002757,0.17211628743670976,0.02434801954184874,0.0016592361521709333,0.0017910151454007782,1.833044858403617e-4,0.009852683596635476,-0.04147465437788016,-0.1273885350318472,-0.004204804155905529,0.008331813546344609,0.002468094771211655,-0.1263050721670984,-0.004323428686468241,-8.419653659714985e-4,0.006657289159684706,0.0016360314455879437,-7.607863495351399e-4,-0.0398230088495575,-0.00632911392405061,-0.0012404826874919032,0.004424415592903103,-0.0035548519849611074,0.0020820144680799035,-0.005922770759559863,-0.0025709880047414813,0.0019654763208529816,0.0018492719434198704,0.0013988096332554947
2014 Q4,12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,717432,137450,1.09,0.19,0.75,133074,31735,0.18000000000000005,0.03,-0.020000000000000018,121437,21266,0.18000000000000005,0.01999999999999999,0.16000000000000003,114510,23590,0.16000000000000003,0.020000000000000018,NA,149342,18620,0.22999999999999993,NA,NA,NA,31259,NA,NA,NA,0.0031578947368421082,0.054736842105263174,-0.04944444444444447,-0.14277777777777775,0.00944444444444441,5.7,5.666666666666667,100.49742942537867,5.381475,9.98406,750.067,8.147307274448661e-6,4.0918174295501145e-5,3.874257365232559e-4,0.5792797558651356,425.1568080399817,-0.06043956043956037,0.04294478527607363,0.008294079278175414,0.0049360957393051125,-0.0038341777011855426,0.049125457203001564,0.03855843683786842,0.010841607920188071,0.00933844908160706,0.004582743891323941,0.01207921198264399,-0.02150537634408609,-0.018072289156626443,0.001022625718818134,0.007963318328506898,-0.00229981491382645,-2.2374336635874194e-4,0.01447351518796898,0.008752104204689415,0.0077128132562889196,0.0036322604040187195,0.007215475223090608,-0.07000000000000002,0.05732484076433118,0.0010128674712671652,0.004016834609598831,-0.005514835816149563,0.07073125447320276,0.006763929618889098,0.023916192564543175,0.007758834389942605,0.016527011409218206,0.010724183681872855,-0.03846153846153845,0.14598540145985409,0.004744874753229095,0.004256743766571971,-0.006686891594002757,0.17211628743670976,0.02434801954184874,0.0016592361521709333,0.0017910151454007782,1.833044858403617e-4,0.009852683596635476,-0.04147465437788016,-0.1273885350318472,-0.004204804155905529,0.008331813546344609,0.002468094771211655,-0.1263050721670984,-0.004323428686468241,-8.419653659714985e-4,0.006657289159684706,0.0016360314455879437,-7.607863495351399e-4
2015 Q1,12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,876982,155549,1.29,0.3,0.65,159550,18099,0.19999999999999996,0.10999999999999999,-0.09999999999999998,133074,31735,0.18000000000000005,0.03,-0.020000000000000018,121437,21266,0.18000000000000005,0.01999999999999999,0.16000000000000003,114510,23590,0.16000000000000003,0.020000000000000018,NA,149342,18620,0.22999999999999993,NA,NA,-0.07631578947368423,0.0031578947368421082,0.054736842105263174,-0.04944444444444447,-0.14277777777777775,5.533333333333333,6.2,101.11293543284734,5.419858,10.003731,828.313,8.164506401265773e-6,4.1514907869552494e-5,3.897225444898121e-4,0.5792458463184099,430.26370552543534,-0.029239766081871395,0.0941176470588235,0.006124594539263243,0.007132431164318261,0.0019702405634582187,0.1043186808645094,0.002111019780860717,0.01458358258464525,0.005928382526074916,-5.853742752501434e-5,0.012011797503601086,-0.06043956043956037,0.04294478527607363,0.008294079278175414,0.0049360957393051125,-0.0038341777011855426,0.049125457203001564,0.03855843683786842,0.010841607920188071,0.00933844908160706,0.004582743891323941,0.01207921198264399,-0.02150537634408609,-0.018072289156626443,0.001022625718818134,0.007963318328506898,-0.00229981491382645,-2.2374336635874194e-4,0.01447351518796898,0.008752104204689415,0.0077128132562889196,0.0036322604040187195,0.007215475223090608,-0.07000000000000002,0.05732484076433118,0.0010128674712671652,0.004016834609598831,-0.005514835816149563,0.07073125447320276,0.006763929618889098,0.023916192564543175,0.007758834389942605,0.016527011409218206,0.010724183681872855,-0.03846153846153845,0.14598540145985409,0.004744874753229095,0.004256743766571971,-0.006686891594002757,0.17211628743670976,0.02434801954184874,0.0016592361521709333,0.0017910151454007782,1.833044858403617e-4,0.009852683596635476
2015 Q2,12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,1025367,198243,1.49,0.34,0.68,148385,42694,0.19999999999999996,0.040000000000000036,0.030000000000000027,159550,18099,0.19999999999999996,0.10999999999999999,-0.09999999999999998,133074,31735,0.18000000000000005,0.03,-0.020000000000000018,121437,21266,0.18000000000000005,0.01999999999999999,0.16000000000000003,114510,23590,0.16000000000000003,0.020000000000000018,NA,-0.062105263157894726,-0.07631578947368423,0.0031578947368421082,0.054736842105263174,-0.04944444444444447,5.433333333333334,5.8,100.94504688468666,5.499435,10.035315,781.359,8.344304414740201e-6,4.20883051139756e-5,3.917031842331127e-4,0.5840501310221583,430.7843904713931,-0.018072289156626443,-0.06451612903225812,-0.0016604062323180822,0.014682487991382885,0.0031572220404567555,-0.05668630095145187,0.022021908568355505,0.013811839501723794,0.005082179030452213,0.008294033930987366,0.0012101530741988225,-0.029239766081871395,0.0941176470588235,0.006124594539263243,0.007132431164318261,0.0019702405634582187,0.1043186808645094,0.002111019780860717,0.01458358258464525,0.005928382526074916,-5.853742752501434e-5,0.012011797503601086,-0.06043956043956037,0.04294478527607363,0.008294079278175414,0.0049360957393051125,-0.0038341777011855426,0.049125457203001564,0.03855843683786842,0.010841607920188071,0.00933844908160706,0.004582743891323941,0.01207921198264399,-0.02150537634408609,-0.018072289156626443,0.001022625718818134,0.007963318328506898,-0.00229981491382645,-2.2374336635874194e-4,0.01447351518796898,0.008752104204689415,0.0077128132562889196,0.0036322604040187195,0.007215475223090608,-0.07000000000000002,0.05732484076433118,0.0010128674712671652,0.004016834609598831,-0.005514835816149563,0.07073125447320276,0.006763929618889098,0.023916192564543175,0.007758834389942605,0.016527011409218206,0.010724183681872855
2015 Q3,12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,1174361,241046,1.68,0.37,0.88,148994,42803,0.18999999999999995,0.02999999999999997,0.19999999999999996,148385,42694,0.19999999999999996,0.040000000000000036,0.030000000000000027,159550,18099,0.19999999999999996,0.10999999999999999,-0.09999999999999998,133074,31735,0.18000000000000005,0.03,-0.020000000000000018,121437,21266,0.18000000000000005,0.01999999999999999,0.16000000000000003,0.126,-0.062105263157894726,-0.07631578947368423,0.0031578947368421082,0.054736842105263174,5.1,5.666666666666666,100.62843787268267,5.581413,10.095941,766.046,8.484453025783674e-6,4.218064381192805e-5,3.936257737901717e-4,0.5861713476084693,432.27430438137486,-0.061349693251533846,-0.02298850574712651,-0.0031364492045426297,0.014906622225737794,0.006041265271692934,-0.01959790570019669,0.016795721258191492,0.00219392768852045,0.004908281664401325,0.003631908416146832,0.003458607003729578,-0.018072289156626443,-0.06451612903225812,-0.0016604062323180822,0.014682487991382885,0.0031572220404567555,-0.05668630095145187,0.022021908568355505,0.013811839501723794,0.005082179030452213,0.008294033930987366,0.0012101530741988225,-0.029239766081871395,0.0941176470588235,0.006124594539263243,0.007132431164318261,0.0019702405634582187,0.1043186808645094,0.002111019780860717,0.01458358258464525,0.005928382526074916,-5.853742752501434e-5,0.012011797503601086,-0.06043956043956037,0.04294478527607363,0.008294079278175414,0.0049360957393051125,-0.0038341777011855426,0.049125457203001564,0.03855843683786842,0.010841607920188071,0.00933844908160706,0.004582743891323941,0.01207921198264399,-0.02150537634408609,-0.018072289156626443,0.001022625718818134,0.007963318328506898,-0.00229981491382645,-2.2374336635874194e-4,0.01447351518796898,0.008752104204689415,0.0077128132562889196,0.0036322604040187195,0.007215475223090608
